Subject,GEN ACC,ROTE ACC,Gen RT,Rote RT,AP AVG,2B,3B,NBAVG,Condition,MADLevel1,MADLevel2,MADLevel3,MADLevel4,MADLevel5,MADLevel6,MADLevel7,MADLevel8,MADLevel9,MADLevel10,MADLevel11,MADLevel12,Average MAD
1,0.4166666667,0.8125,1379.5833333333,1041.2,0.6896551724,1.8180735745,3.5937756637,2.7059246191,1,87.34375,138.5,168.09375,96.40625,116.53125,167,171.875,129.53125,44.375,148.28125,90.28125,86.53125,120.3958333333
3,0.2777777778,0.275,1184.0277777778,775.125,0.275862069,2.2573233274,4.4618831323,3.3596032299,2,337.46875,255.375,347.25,321.125,316.4375,253.28125,224.90625,291,222.4375,282.0625,307.125,257.46875,284.6614583333
4,0.5833333333,0.85,1191.3611111111,688.0875,0.7672413793,2.8583188189,3.260946974,3.0596328964,2,63.75,76.71875,136.1875,117.28125,111.8125,115.46875,101.15625,71.34375,97.0625,111.15625,109.125,83.5,99.546875
5,0.2777777778,0.6,522.1388888889,478.9625,0.5,3.3434680664,3.8350042522,3.5892361593,1,98.6875,151.875,269.9375,273.40625,207.0625,140.0625,109.78125,79.21875,136.59375,139.90625,112.96875,215.71875,161.2682291667
6,0.3333333333,0.8,1455.1666666667,886.95,0.6551724138,3.4446899228,3.8958311366,3.6702605297,1,37.21875,129.75,149.3125,228.0625,322.90625,263.3125,129.84375,164.625,30.375,60.4375,96.53125,18.1875,135.8802083333
7,0.1388888889,0.55,1403.0833333333,904.8875,0.4224137931,3.3013398723,4.167832942,3.7345864071,2,140.0625,247.8125,202.53125,159.84375,290.625,171.25,170.65625,224.75,181.8125,125.21875,225.0625,152.8125,191.0364583333
8,0.4444444444,0.8875,1618.1666666667,817.9875,0.75,4.167832942,4.167832942,4.167832942,2,6.75,94.21875,164.03125,132.3125,239.34375,179.21875,40.25,84.03125,63.4375,13.46875,96.3125,0.5625,92.828125
9,0.3333333333,0.4625,668.9166666667,1128.7375,0.4224137931,2.6746131333,3.3434680664,3.0090405998,1,229.78125,286.9375,281.34375,301.40625,290.25,295.46875,319.9375,276.90625,309,273.3125,246.9375,318.875,285.8463541667
10,0.2777777778,0.625,816.0833333333,1013.4875,0.5172413793,2.727282594,4.167832942,3.447557768,1,237.8125,171.4375,128.90625,133.375,100.8125,91.15625,90.3125,91,157.78125,111.5625,183.75,94.40625,132.6927083333
11,0.3333333333,0.5375,1128.6944444445,1234.725,0.474137931,3.260946974,3.8350042522,3.5479756131,1,263.3125,228.375,113.03125,150.53125,83.5625,124.90625,150.375,148.40625,136.9375,186.5,147.125,116.375,154.1197916667
12,0.3888888889,0.7125,1184.0833333333,997.6,0.6120689655,1.8206491196,3.0414125935,2.4310308565,1,297.09375,163.53125,155.625,185.6875,171,37.34375,123.5625,131.0625,99.375,66.5625,115.96875,68.90625,134.6432291667
