,Block,Conditon,EnemyHitPlayer,EnemyType,Success,TotalTime
0,1,1,0,A2,1,0.00048751994199847104
1,1,1,0,B5,1,0.0005382340914366068
2,1,1,0,A8,1,0.0007791262978571467
3,1,1,0,A8,1,0.0010646952541719656
4,1,1,0,B2,1,0.0004778601041834918
5,1,1,0,A8,1,0.0007084887329256162
6,1,1,0,B10,0,0.000588042630624841
7,1,1,0,A8,1,0.001073449482646538
8,1,1,0,A11,1,0.0010692233045119792
9,1,1,0,B6,0,0.00030036058433324797
10,1,1,0,B6,1,0.0005038209183112485
11,1,1,0,A7,1,0.0004914442515655537
12,1,1,0,B3,1,0.0004814825442736037
13,1,1,0,A9,1,0.0005125751467858208
14,1,1,0,B2,1,0.00048691620213503484
15,1,1,0,B3,1,0.0004998966096536606
16,2,1,0,A11,1,0.0005137826265126932
17,2,1,0,B3,0,0.0003308494460725342
18,2,1,0,B6,1,0.0005001984791306313
19,2,1,0,B10,0,0.00012286106266401475
20,2,1,0,A8,1,0.0005098583169456106
21,2,1,0,B1,1,0.0005008022199035622
22,2,1,0,B4,0,0.00012104984307370614
23,2,1,0,B4,0,0.00019440423784544691
24,2,1,0,B1,1,0.000507141488014895
25,2,1,0,B7,1,0.0005092545779916691
26,2,1,0,B6,1,0.000511065796672483
27,2,1,0,A5,1,0.00048419937320431927
28,2,1,0,A11,1,0.0004911423811790883
29,2,1,0,B2,1,0.0009065154090421856
30,2,1,0,B1,1,0.0004932554711558623
31,2,1,0,A2,1,0.0004872180716120056
32,3,1,0,B2,1,0.0005020096987209399
33,3,1,0,B3,1,0.0008452358133581583
34,3,1,0,B3,1,0.000508047097355302
35,3,1,0,B1,1,0.0005264611636448535
36,3,1,0,A3,1,0.0004838975037273485
37,3,1,0,A1,1,0.0005017078292439692
38,3,1,0,B1,1,0.0004778601050929865
39,3,1,0,B7,1,0.0005119714069223846
40,3,1,0,A3,1,0.001038734440044209
41,3,1,0,A5,1,0.0011096738753622049
42,3,1,0,B6,1,0.0007151298723329091
43,3,1,0,B4,0,0.00036103644015383907
44,3,1,0,A1,1,0.0004887274217253434
45,3,1,0,A1,1,0.0010656008644218673
46,3,1,0,A1,1,0.0004872180725215003
47,3,1,0,A7,1,0.0009345893131467164
48,4,1,0,B2,1,0.0006315119007922476
49,4,1,0,B5,1,0.0010704307842388516
