,Balance,Block,Condition,EnemyHitPlayer,EnemySpeed,EnemyType,Success,TotalTime
0,1,1,3,0,1,A9,0,6.944084632254089
1,1,1,3,0,1,A1,1,3.8086389137497463
2,1,1,3,0,1,B10,0,3.794326052731776
3,1,1,3,0,1,A3,1,2.7213185074942885
4,1,1,3,0,1,B10,0,2.8642907490466314
5,1,1,3,0,1,B7,0,1.9040548678785854
6,1,1,3,0,1,B10,1,3.0403340492666757
7,1,1,3,0,1,A8,1,4.7528563687737915
8,1,1,3,0,1,A6,1,2.657043455685198
9,1,1,3,0,1,A9,1,2.291849360866763
10,1,2,3,0,1,A9,1,2.720510703555192
11,1,2,3,0,1,A6,1,2.433271802179661
12,1,2,3,0,1,B10,0,2.8648359261460428
13,1,2,3,0,1,A6,1,1.8089145209996786
14,1,2,3,0,1,A9,1,3.136754324663343
15,1,2,3,0,1,A6,1,2.64053177407186
16,1,2,3,0,1,B5,1,2.560883995913173
17,1,2,3,0,2,B6,0,2.1786514564482786
18,1,2,3,0,2,A2,1,2.832901709640282
19,1,2,3,0,2,A3,0,2.3681457790298737
20,1,3,3,0,2,A7,1,2.608580954725767
21,1,3,3,0,2,A5,1,0.4806125544710085
22,1,3,3,0,2,B7,1,2.304662532056682
23,1,3,3,0,2,A8,1,1.4249338527515647
24,1,3,3,0,2,B10,0,1.808060229090188
25,1,3,3,0,2,B5,0,1.5200005433689512
26,1,3,3,0,2,A9,1,1.696829007283668
27,1,3,3,0,2,B1,1,1.5890321597144066
28,1,3,3,0,2,B7,1,2.0005484976682055
29,1,3,3,0,2,B1,1,2.0164386290853145
30,1,4,3,0,2,B5,1,1.9044572605016583
31,1,4,3,0,2,B6,0,2.1754036378333694
32,1,4,3,0,2,B5,1,1.3444743463369377
33,1,4,3,0,2,B1,0,1.8721094821885345
34,1,4,3,0,2,B5,1,2.017565509551787
35,1,4,3,0,3,B3,0,1.9212813774938695
36,1,4,3,0,3,B6,0,1.8880681380833266
37,1,4,3,0,3,B4,0,1.4721161233246676
38,1,4,3,1,3,A7,0,2.448125614118908
39,1,4,3,0,3,A2,0,1.0720421651894867
40,1,5,3,0,3,A9,1,1.984545768762473
41,1,5,3,0,3,A6,1,1.2008210862186388
42,1,5,3,0,3,A3,1,1.8087433607470302
43,1,5,3,0,3,B6,1,1.3136694252534653
44,1,5,3,0,3,B10,1,1.360678724358877
45,1,5,3,0,3,B1,0,1.5521726333754486
46,1,5,3,0,3,B1,1,1.2805751225969288
47,1,5,3,0,3,A2,1,0.977246855647536
48,1,5,3,0,3,A5,1,2.032614329466014
49,1,5,3,0,3,A7,1,1.2969654524968064
50,1,6,3,0,3,A5,0,1.7922259436090826
51,1,6,3,0,3,B10,1,1.3772839856501378
52,1,6,3,0,3,B2,1,1.169258773472393
53,1,6,3,0,3,A6,0,1.4562594994713436
54,1,6,3,0,3,A6,1,1.6966463759745238
55,1,6,3,0,4,B6,1,1.1843779290829843
56,1,6,3,0,4,B6,1,1.1844536984353908
57,1,6,3,0,4,B1,1,1.1689870905320277
58,1,6,3,0,4,A6,1,0.6883377079284401
59,1,6,3,1,4,A6,0,1.7936821641669667
60,1,7,3,0,2,A8,1,2.5289072157502233
61,1,7,3,0,2,B5,1,2.0634941142925527
62,1,7,3,0,2,A2,0,2.0805953478811716
63,1,7,3,0,2,B2,1,2.0486403023533057
64,1,7,3,0,2,B2,0,1.28139620881484
65,1,7,3,0,2,B10,1,2.704610308555857
66,1,7,3,0,2,A8,1,1.2659779001041898
67,1,7,3,0,2,B2,0,2.8483462810363562
68,1,7,3,0,2,A8,0,2.3853635344166833
69,1,7,3,0,2,B6,1,1.5527905611306778
70,1,8,3,0,2,B5,0,2.127901083258621
71,1,8,3,0,2,B4,1,2.032373739126342
72,1,8,3,0,2,A8,1,1.681501863295125
73,1,8,3,0,2,B1,0,1.1521493893924344
74,1,8,3,0,2,B4,0,1.537022385164164
75,1,8,3,0,2,B7,0,2.895391200796439
76,1,8,3,0,2,A5,1,1.312745703256951
77,1,8,3,0,2,A5,1,2.6405218123691157
78,1,8,3,0,2,A1,1,1.85649042996738
79,1,8,3,0,2,A1,1,2.01653190689467
80,1,9,3,0,2,A2,0,1.7926358829790843
81,1,9,3,0,2,B4,0,1.8720400521015108
82,1,9,3,0,2,B10,0,1.8245462517552369
83,1,9,3,0,2,A2,0,1.8401529273069173
84,1,9,3,0,2,B1,0,1.776247666170093
85,1,9,3,0,2,A6,1,1.8884234389915946
86,1,9,3,0,2,A3,0,2.1130913443303143
87,1,9,3,0,2,B3,1,2.6727328435990785
88,1,9,3,0,2,A1,1,1.8236575466726208
89,1,9,3,0,2,A6,1,1.8568882945437508
