,Balance,Block,Condition,EnemyHitPlayer,EnemySpeed,EnemyType,Success,TotalTime
0,1,1,1,0,1,A6,0,2.735355459393759
1,1,1,1,0,1,A9,1,2.4482297592439863
2,1,1,1,0,1,B10,0,2.529826107824192
3,1,1,1,0,1,A1,0,3.8721076709680347
4,1,1,1,0,1,B10,1,4.160854714529705
5,1,1,1,0,1,A2,1,2.592701992492948
6,1,1,1,0,1,B1,1,3.920431009890308
7,1,1,1,0,1,B7,0,4.001502406657892
8,1,1,1,0,1,B2,1,3.4729713208471367
9,1,1,1,0,1,B7,1,3.96968682503757
10,1,2,1,0,1,B2,1,3.0565269562303
11,1,2,1,0,1,A9,0,3.536447021071581
12,1,2,1,0,1,A9,1,5.66466174719244
13,1,2,1,0,1,B6,1,3.729975835312871
14,1,2,1,0,1,A1,1,3.409931822676299
15,1,2,1,0,1,A5,1,2.5284435435296473
16,1,2,1,0,1,A7,0,4.400338698065752
17,1,2,1,0,1,B6,1,4.176513311709641
18,1,2,1,0,2,A9,0,2.8789124230042944
19,1,2,1,0,2,B4,1,3.2166490324307233
20,1,3,1,0,2,B3,1,2.112327613402158
21,1,3,1,0,2,A7,1,1.440764213923103
22,1,3,1,0,2,A2,1,1.5206003589246393
23,1,3,1,0,2,B3,1,2.1767644674946496
24,1,3,1,0,2,A6,1,1.808476205857005
25,1,3,1,0,2,A8,0,0.9600725695308938
26,1,3,1,0,2,A6,0,2.161464491793595
27,1,3,1,0,2,B2,0,2.385547071333349
28,1,3,1,0,2,A8,1,2.960741513303219
29,1,3,1,0,2,A5,1,1.7942738292349532
30,1,4,1,0,2,B1,1,2.5604535293878143
31,1,4,1,0,2,B1,0,1.9687030309250986
32,1,4,1,0,2,A2,1,3.008598463178714
33,1,4,1,0,2,A9,0,2.911006630572956
34,1,4,1,0,2,B1,1,2.8486804510539514
35,1,4,1,0,2,A1,1,2.5126128804895416
36,1,4,1,0,3,B5,1,1.2795294451480004
37,1,4,1,0,3,A2,0,1.4882124319101422
38,1,4,1,0,3,A3,1,1.920453046395778
39,1,4,1,0,3,A7,0,1.3922171893809718
40,1,5,1,0,3,B3,1,0.9927518010317726
41,1,5,1,0,3,B2,0,1.5192775648756651
42,1,5,1,0,3,A3,0,1.6162864866400923
43,1,5,1,0,3,A8,1,1.0887017630720948
44,1,5,1,0,3,B2,1,1.2646406162966741
45,1,5,1,1,3,A1,0,2.272112199016192
46,1,5,1,0,3,B3,1,1.6964359726316616
47,1,5,1,0,3,B5,1,1.6487474661789747
48,1,5,1,0,3,B10,1,1.519525098221493
49,1,5,1,1,3,A3,0,1.7765730819555756
50,1,6,1,0,3,A5,0,0.7841904678534775
51,1,6,1,0,3,B7,1,1.312528356907933
52,1,6,1,0,3,B6,1,0.832506260027003
53,1,6,1,0,3,A7,1,1.6328576366304333
54,1,6,1,0,3,A9,0,1.6804269044605462
55,1,6,1,0,3,B6,0,1.3761054854294343
56,1,6,1,0,3,B6,1,1.5206154524203157
57,1,6,1,0,4,B1,1,1.7454922517536033
58,1,6,1,1,4,B6,0,1.8402072638964455
59,1,6,1,0,4,B6,1,1.0886268993290287
60,1,7,1,0,2,A9,1,2.4805941404029
61,1,7,1,0,2,A6,1,2.1913997256015136
62,1,7,1,0,2,B2,1,2.752906479185185
63,1,7,1,0,2,A8,0,1.3441012350995152
64,1,7,1,0,2,A1,1,3.058451980796235
65,1,7,1,0,2,B1,1,2.0166894830017554
66,1,7,1,0,2,A2,1,2.9928659078650526
67,1,7,1,0,2,B6,1,2.0166043556819204
68,1,7,1,0,2,B2,1,2.065343973243216
69,1,7,1,0,2,A9,1,2.1288534829000128
70,1,8,1,0,2,A2,0,1.6001288984607527
71,1,8,1,0,2,B7,1,2.144611093419371
72,1,8,1,0,2,A7,1,2.672435199845495
73,1,8,1,0,2,A9,1,2.99349047675787
74,1,8,1,0,2,A3,1,3.0724979887909285
75,1,8,1,0,2,A7,1,1.8406821053013118
76,1,8,1,0,2,A8,0,1.9691377236285916
77,1,8,1,0,2,B3,1,2.6269222700011596
78,1,8,1,0,2,B10,1,1.4086521960271057
79,1,8,1,0,2,B2,1,2.224910608767459
80,1,9,1,0,2,A2,0,2.8803408715284604
81,1,9,1,0,2,B6,0,2.305502334207631
82,1,9,1,0,2,B3,1,2.2243147175177
83,1,9,1,0,2,B2,0,2.352121617359444
84,1,9,1,0,2,B1,1,1.3124205893400358
85,1,9,1,0,2,A7,1,2.0483828073010955
86,1,9,1,0,2,B10,0,2.4962584731129027
87,1,9,1,0,2,A2,0,2.896109047494974
88,1,9,1,0,2,B2,1,2.3370244982543227
89,1,9,1,0,2,B10,1,1.9836015196124208
